"ORDER_ID","SOURCE_ID","DESTINATION_ID","HUB_ID","UPC","UPT","QTY_ORDERED_CASES","QTY_ALLOCATED_CASES","QTY_PICKED_CASES","QTY_SHIPPED_CASES","INTO_LOCATION_DATE","CREATION_DATE","LAST_UPDATE_DATE"
"8092354203","5012068010865","5012068047502","5012068039422","00992619","18",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354203","5012068010865","5012068047502","5012068039422","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354203","5012068010865","5012068047502","5012068039422","29407910","8",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354203","5012068010865","5012068047502","5012068039422","29415052","6",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354203","5012068010865","5012068047502","5012068039422","29463046","10",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.936353000,09-JUN-26 09.00.48.697977000
"8092354204","5012068010865","5012068013132","5012068059666","00992619","18",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.664202000,09-JUN-26 09.00.49.180413000
"8092354204","5012068010865","5012068013132","5012068059666","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.664202000,09-JUN-26 09.00.49.180413000
"8092354205","5012068010865","5012068019356","5012068016522","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.581604000,09-JUN-26 09.00.49.613286000
"8092354205","5012068010865","5012068019356","5012068016522","29463046","10",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.581604000,09-JUN-26 09.00.49.613286000
"8092354206","5012068010865","5012068012166","5012068056528","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.232804000,09-JUN-26 09.00.48.902523000
"8092354206","5012068010865","5012068012166","5012068056528","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.232804000,09-JUN-26 09.00.48.902523000
"8092354207","5012068010865","5012068069658","5012068039422","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.641313000,09-JUN-26 09.00.48.728099000
"8092354207","5012068010865","5012068069658","5012068039422","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.641313000,09-JUN-26 09.00.48.728099000
"8092354208","5012068010865","5012068042972","5012068039422","00992619","18",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.989822000,09-JUN-26 09.00.48.669843000
"8092354208","5012068010865","5012068042972","5012068039422","29463046","10",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.989822000,09-JUN-26 09.00.48.669843000
"8092354208","5012068010865","5012068042972","5012068039422","29466139","22",1,0,1,1,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.49.989822000,09-JUN-26 09.00.48.669843000
"8092354209","5012068010865","5012068045560","5012068039422","00992619","18",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.775157000,09-JUN-26 09.00.48.681258000
"8092354209","5012068010865","5012068045560","5012068039422","29397822","7",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.775157000,09-JUN-26 09.00.48.681258000
"8092354209","5012068010865","5012068045560","5012068039422","29463046","10",1,0,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.775157000,09-JUN-26 09.00.48.681258000
"8092354210","5012068010865","5012068010544","5012068039422","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.681217000,09-JUN-26 09.00.48.546360000
"8092354210","5012068010865","5012068010544","5012068039422","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.41.681217000,09-JUN-26 09.00.48.546360000
"8092354211","5012068010865","5012068019912","5012068059666","00992619","18",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.483704000,09-JUN-26 09.00.49.225691000
"8092354211","5012068010865","5012068019912","5012068059666","29407910","8",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.30.483704000,09-JUN-26 09.00.49.225691000
"8092354212","5012068010865","5012068014108","5012068059666","00992619","18",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.998029000,09-JUN-26 09.00.49.202982000
"8092354212","5012068010865","5012068014108","5012068059666","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.998029000,09-JUN-26 09.00.49.202982000
"8092354212","5012068010865","5012068014108","5012068059666","29415052","6",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 08.59.56.998029000,09-JUN-26 09.00.49.202982000
"8092354213","5012068010865","5012068013804","5012068053800","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.950902000,09-JUN-26 09.00.48.328327000
"8092354213","5012068010865","5012068013804","5012068053800","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.950902000,09-JUN-26 09.00.48.328327000
"8092354213","5012068010865","5012068013804","5012068053800","29463046","10",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.06.950902000,09-JUN-26 09.00.48.328327000
"8092354214","5012068010865","5012068005632","5012068039422","00992619","18",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.675694000,09-JUN-26 09.00.48.480491000
"8092354214","5012068010865","5012068005632","5012068039422","29397822","7",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.675694000,09-JUN-26 09.00.48.480491000
"8092354214","5012068010865","5012068005632","5012068039422","29415052","6",1,0,1,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.11.675694000,09-JUN-26 09.00.48.480491000
"8092354215","5012068010865","5012068026132","5012068059666","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.592628000,09-JUN-26 09.00.49.271620000
"8092354215","5012068010865","5012068026132","5012068059666","29463046","10",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.32.592628000,09-JUN-26 09.00.49.271620000
"8092354216","5012068010865","5012068009555","5012068016522","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.13.245497000,09-JUN-26 09.00.49.498511000
"8092354217","5012068010865","5012068025166","5012068059666","00992619","18",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.653438000,09-JUN-26 09.00.49.248502000
"8092354217","5012068010865","5012068025166","5012068059666","29397822","7",1,1,0,0,11-JUN-26 01.00.00.000000000,09-JUN-26 09.00.38.653438000,09-JUN-26 09.00.49.248502000
